X,favoriteCount,replyToSN,truncated,replyToSID,id,replyToUID,screenName,retweetCount,isRetweet,retweeted,,,,,,
142,0,NA,0,NA,8.01486284644458E+017,NA,guesthousesgoa,9,1,0,,,,,,
143,0,NA,0,NA,8.01486268504777E+017,NA,AjayGrover29,0,0,0,,,,,,
144,0,NA,0,NA,8.01486231951516E+017,NA,BhaanuWrites,9,1,0,,,,,,
145,0,NA,0,NA,8.01486217313403E+017,NA,JoinAAP,9,1,0,,,,,,
146,0,NA,0,NA,8.01486179032043E+017,NA,aapdelhincr,9,1,0,,,,,,
147,0,NA,0,NA,8.01486167984194E+017,NA,anil_tikar2,15,1,0,,,,,,
148,0,sritara,0,8.01484177300296E+017,8.01486142201823E+017,47712007,Dhriyamana,0,0,0,,,,,,
149,0,ArvindKejriwal,1,8.01307597018198E+017,8.01486123201499E+017,405427035,SShettyy007,0,0,0,,,,,,
150,0,0,NA,0,NA,8.01486116993909E+017,NA,Tinni_Aphrodite,71,1,0,,,,,
151,0,NA,0,NA,8.01486112011088E+017,NA,akash_8,15,1,0,,,,,,
152,1,NA,0,NA,8.01486095829479E+017,NA,NilimDutta,2,0,0,,,,,,
153,0,0,NA,0,NA,8.01486020168421E+017,NA,san_selene,637,1,0,,,,,
154,0,NA,0,NA,8.01486018897707E+017,NA,laxmisagarnitw,12,1,0,,,,,,
155,0,NA,0,NA,8.01485976891597E+017,NA,pushpa_sahani,15,1,0,,,,,,
156,0,NA,0,NA,8.01485835120079E+017,NA,nagrulz,33,1,0,,,,,,
157,0,NA,0,NA,8.01485813552812E+017,NA,ilapakurthi,180,1,0,,,,,,
158,0,NA,0,NA,8.01485757668094E+017,NA,cyberkingtm,0,0,0,,,,,,
159,0,NA,0,NA,8.0148574824335E+017,NA,pratimadesh,76,1,0,,,,,,
160,0,NA,0,NA,8.01485714198122E+017,NA,abhinavaawara,76,1,0,,,,,,
161,0,NA,0,NA,8.01485475924083E+017,NA,shweta_ohri,30,1,0,,,,,,
162,0,NA,0,NA,8.01E+017,NA,avdheshkumartsi,15,1,0,,,,,,
163,0,NA,0,NA,8.01485437168554E+017,NA,RkKotha,33,1,0,,,,,,
164,0,NA,0,NA,8.01485425671975E+017,NA,puneetgarg24,15,1,0,,,,,,
165,0,NA,0,NA,8.01485381103452E+017,NA,YogenderWrites,12,1,0,,,,,,
166,0,NA,0,NA,8.01485311670829E+017,NA,mi_puneri,95,1,0,,,,,,
167,0,NA,0,NA,8.01485142866805E+017,NA,HARESHUPADHYAY1,15,1,0,,,,,,
168,4,NA,0,NA,8.01485130279764E+017,NA,roshankar,12,0,0,,,,,,
169,0,NA,0,NA,8.01485083886682E+017,NA,VihaanSingh20,0,0,0,,,,,,
170,0,NA,0,NA,8.01484855003316E+017,NA,Punitspeaks,30,1,0,,,,,,
171,0,NA,0,NA,8.01484839694303E+017,NA,AmberRishi,45,1,0,,,,,,
172,0,NA,0,NA,8.01484798200054E+017,NA,zasambhu,22,1,0,,,,,,
173,0,NA,0,NA,8.01484760388252E+017,NA,ZeeNews,15,1,0,,,,,,
174,0,NA,0,NA,8.01484729946022E+017,NA,krishnpria,76,1,0,,,,,,
175,0,NA,0,NA,8.01484682483225E+017,NA,rbr6000,95,1,0,,,,,,
176,0,NA,0,NA,8.01484662811988E+017,NA,sainath_kits,95,1,0,,,,,,
177,0,NA,0,NA,8.0148463509198E+017,NA,unbrahmachari,15,1,0,,,,,,
178,0,0,NA,0,NA,8.01484545736348E+017,NA,munireddyab,637,1,0,,,,,
179,40,NA,1,NA,8.01484504216977E+017,NA,ZeeNewsSports,15,0,0,,,,,,
180,0,NA,0,NA,8.01484471803531E+017,NA,PramodKr7227,69,1,0,,,,,,
181,0,0,NA,0,NA,8.01484329570497E+017,NA,AdMathura,331,1,0,,,,,
182,0,NA,0,NA,8.01484246812496E+017,NA,Jaishankar_Sing,30,1,0,,,,,,
183,0,NA,0,NA,8.01484241636889E+017,NA,_Hinduism_,22,1,0,,,,,,
184,0,0,NA,0,NA,8.01484236343558E+017,NA,CongressALL,57,1,0,,,,,
185,0,0,NA,0,NA,8.01484211492225E+017,NA,JaihindRayudu,41,1,0,,,,,
186,0,NA,0,NA,8.01484135961272E+017,NA,achintparikh,9,1,0,,,,,,
187,0,NA,0,NA,8.01484122958885E+017,NA,abhaymishra09,30,1,0,,,,,,
188,9,NA,0,NA,8.01484068990829E+017,NA,roshankar,9,0,0,,,,,,
189,0,0,NA,0,NA,8.01483988833542E+017,NA,Himansh29466255,57,1,0,,,,,
190,0,NA,0,NA,8.01483979773932E+017,NA,JhansiKiRani77,7,1,0,,,,,,
191,0,0,NA,0,NA,8.01483967836865E+017,NA,Himansh29466255,71,1,0,,,,,
192,0,NA,0,NA,8.01483955262267E+017,NA,Sukant_Khurana,0,0,0,,,,,,
193,0,NA,0,NA,8.01483954045919E+017,NA,sainath_kits,102,1,0,,,,,,
194,0,NA,0,NA,8.01483930138313E+017,NA,gopsec2,76,1,0,,,,,,
195,0,NA,0,NA,8.01483882079998E+017,NA,karunasanghvi,0,0,0,,,,,,
196,0,NA,0,NA,8.01483867077149E+017,NA,beiing_tiger_,45,1,0,,,,,,
197,0,NA,0,NA,8.01483864312934E+017,NA,sainath_kits,947,1,0,,,,,,
198,0,0,NA,0,NA,8.01483859095228E+017,NA,Maninde42125473,331,1,0,,,,,
199,0,NA,0,NA,8.01483717302686E+017,NA,AtishhR,30,1,0,,,,,,
200,0,NA,0,NA,8.01483709216129E+017,NA,raovikashpranav,66,1,0,,,,,,
201,0,NA,0,NA,8.01483692409553E+017,NA,aapkaTejuBhaiya,95,1,0,,,,,,
202,0,NA,0,NA,8.01483666677338E+017,NA,krutarth8495,45,1,0,,,,,,
203,0,NA,0,NA,8.0148363363038E+017,NA,sainath_kits,421,1,0,,,,,,
204,0,NA,0,NA,8.01483612147184E+017,NA,sainath_kits,391,1,0,,,,,,
205,0,NA,0,NA,8.01483454483464E+017,NA,vkn2904,19,1,0,,,,,,
206,0,NA,0,NA,8.01483439614652E+017,NA,ateeqtak,11,1,0,,,,,,
207,0,NA,0,NA,8.01483436674327E+017,NA,Thy_SikANDER,45,1,0,,,,,,
208,0,NA,0,NA,8.01483389127705E+017,NA,Bodhisnews,69,1,0,,,,,,
209,0,NA,0,NA,8.01483364586947E+017,NA,niksnirav,95,1,0,,,,,,
210,0,0,NA,0,NA,8.01483331724575E+017,NA,shrenik_gandhi,637,1,0,,,,,
211,0,NA,0,NA,8.01483286291812E+017,NA,4ushashishekhar,30,1,0,,,,,,
212,0,NA,0,NA,8.01483242985689E+017,NA,Himalayanyogi2,76,1,0,,,,,,
213,0,NA,0,NA,8.01483199478055E+017,NA,sainath_kits,114,1,0,,,,,,
214,0,NA,0,NA,8.01483174022771E+017,NA,SuryaNavin,5,1,0,,,,,,
215,0,NA,0,NA,8.01483078719795E+017,NA,aishwaryverma9,69,1,0,,,,,,
216,0,NA,0,NA,8.01483058171892E+017,NA,sainath_kits,1057,1,0,,,,,,
217,0,NA,0,NA,8.01482993516716E+017,NA,deedhinsaan,95,1,0,,,,,,
218,0,0,NA,0,NA,8.01482989091721E+017,NA,ketan99222,331,1,0,,,,,
219,0,NA,0,NA,8.01482972360831E+017,NA,patriotindian12,76,1,0,,,,,,
220,0,NA,0,NA,8.01482911157404E+017,NA,usanghvi55,45,1,0,,,,,,
221,0,0,NA,0,NA,8.01482827023806E+017,NA,AtheistDevil,5,1,0,,,,,
222,0,NA,0,NA,8.01482807579001E+017,NA,ObhanAjay,76,1,0,,,,,,
223,0,0,NA,0,NA,8.01482707838517E+017,NA,abhinavaawara,637,1,0,,,,,
224,0,NA,0,NA,8.01482691753476E+017,NA,delli_sai,33,1,0,,,,,,
225,0,NA,0,NA,8.01482585255776E+017,NA,sainath_kits,120,1,0,,,,,,
226,0,NA,0,NA,8.01482555765695E+017,NA,JasBJP,8,1,0,,,,,,
227,0,NA,0,NA,8.01482509531759E+017,NA,PriyabrataT,2,1,0,,,,,,
228,0,0,NA,0,NA,8.01482504028815E+017,NA,prembhatt0286,41,1,0,,,,,
229,0,NA,0,NA,8.01482459850256E+017,NA,AbleArcher7,95,1,0,,,,,,
230,0,NA,0,NA,8.01482414019097E+017,NA,sir_khujliwal,95,1,0,,,,,,
231,0,NA,0,NA,8.01482330346918E+017,NA,rajeshpandey85,76,1,0,,,,,,
232,0,NA,0,NA,8.01482329927479E+017,NA,prembhatt0286,95,1,0,,,,,,
233,0,NA,0,NA,8.0148224809658E+017,NA,sainath_kits,91,1,0,,,,,,
234,0,NA,0,NA,8.01482016373887E+017,NA,anurag29,12,1,0,,,,,,
235,0,NA,0,NA,8.01481970496586E+017,NA,maitrishah2104,2,1,0,,,,,,
236,0,NA,0,NA,8.01481823767232E+017,NA,Prasanna_Speaks,275,1,0,,,,,,
237,0,NA,0,NA,8.01481490055844E+017,NA,halamalam,45,1,0,,,,,,
238,0,NA,0,NA,8.01481389090619E+017,NA,sharadg287,221,1,0,,,,,,
239,0,NA,0,NA,8.01481320484508E+017,NA,shivr31ravindra,59,1,0,,,,,,
